7,-10
7.8072,-6.7919
8.471,-3.2167
9.0096,0.65828
9.4406,4.7749
9.7803,9.0834
10.042,13.542
10.237,18.115
10.375,22.77
10.464,27.482
10.511,32.227
10.521,36.986
10.499,41.742
10.449,46.48
10.373,51.187
10.275,55.851
10.157,60.46
10.021,65.005
9.8701,69.478
9.7045,73.872
9.5259,78.18
9.3356,82.396
9.1346,86.513
8.9237,90.529
8.7038,94.436
8.4758,98.232
8.2402,101.91
7.9978,105.47
7.7492,108.91
7.4948,112.22
7.2351,115.4
6.9706,118.45
6.7015,121.37
6.4282,124.15
6.1512,126.8
5.8706,129.3
5.5868,131.67
5.3001,133.89
5.0107,135.97
4.7188,137.9
4.4248,139.69
4.1287,141.33
3.8309,142.82
3.5314,144.16
3.2306,145.35
2.9285,146.39
2.6254,147.27
2.3214,148.01
2.0168,148.6
1.7115,149.03
1.4059,149.31
1.1001,149.43
0.79425,149.41
0.4885,149.23
0.18303,148.9
-0.12202,148.41
-0.42648,147.77
-0.73017,146.99
-1.0329,146.04
-1.3346,144.95
-1.635,143.71
-1.9339,142.32
-2.2312,140.78
-2.5266,139.09
-2.8199,137.25
-3.1109,135.27
-3.3994,133.14
-3.6851,130.87
-3.9678,128.46
-4.2472,125.9
-4.5229,123.21
-4.7948,120.38
-5.0624,117.41
-5.3254,114.32
-5.5834,111.09
-5.8359,107.73
-6.0823,104.25
-6.3223,100.65
-6.5552,96.934
-6.7804,93.1
-6.9971,89.155
-7.2044,85.105
-7.4016,80.953
-7.588,76.705
-7.7624,72.366
-7.9236,67.943
-8.0701,63.442
-8.1999,58.873
-8.3112,54.245
-8.4016,49.566
-8.4686,44.849
-8.5094,40.105
-8.5206,35.346
-8.4975,30.589
-8.4362,25.852
-8.3312,21.156
-8.1752,16.526
-7.9594,11.99
-7.673,7.5818
-7.3038,3.3364
-6.8377,-0.70478
-6.2576,-4.4866
-5.546,-7.9436
-4.6868,-11.006
-3.6658,-13.599
-2.4723,-15.644
-1.1345,-17.056
0.29435,-17.769
1.7562,-17.751
3.1886,-17.008
4.5204,-15.576
5.7042,-13.514
6.7227,-10.901
7.5769,-7.8175
8.2826,-4.3468
8.8575,-0.55676
9.3197,3.4921
9.6855,7.7471
9.9696,12.164
10.184,16.705
10.339,21.338
